Timestamp,Milliseconds,Latitude,Longitude,Altitude
2019-05-13 08:45:17,2,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:17,102,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:17,202,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:17,302,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,403,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,502,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,602,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,702,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,802,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,902,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,1002,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,1103,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,1202,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:18,1302,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,1403,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,1502,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,1603,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,1702,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,1802,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,1902,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,2002,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,2102,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,2203,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:19,2302,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:20,2402,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:20,2502,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:20,2603,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:20,2702,52.5374283,7.3412328,75.4000015258789
2019-05-13 08:45:20,2802,52.5374283,7.3412328,75.4000015258789
