Timestamp,Milliseconds,Millibars
2019-05-13 08:45:17,2,1036.0107
2019-05-13 08:45:17,102,1036.0181
2019-05-13 08:45:17,203,1036.0173
2019-05-13 08:45:17,302,1036.0215
2019-05-13 08:45:18,402,1036.0168
2019-05-13 08:45:18,502,1036.0149
2019-05-13 08:45:18,602,1036.0076
2019-05-13 08:45:18,703,1036.0095
2019-05-13 08:45:18,802,1036.0117
2019-05-13 08:45:18,902,1036.0161
2019-05-13 08:45:18,1002,1036.0271
2019-05-13 08:45:18,1103,1036.0352
2019-05-13 08:45:18,1202,1036.0376
2019-05-13 08:45:18,1302,1036.0374
2019-05-13 08:45:19,1403,1036.0474
2019-05-13 08:45:19,1502,1036.0425
2019-05-13 08:45:19,1602,1036.0457
2019-05-13 08:45:19,1702,1036.0547
2019-05-13 08:45:19,1803,1036.0564
2019-05-13 08:45:19,1902,1036.0618
2019-05-13 08:45:19,2002,1036.0586
2019-05-13 08:45:19,2103,1036.06
2019-05-13 08:45:19,2202,1036.0662
2019-05-13 08:45:19,2302,1036.0593
2019-05-13 08:45:20,2403,1036.0588
2019-05-13 08:45:20,2502,1036.0479
2019-05-13 08:45:20,2604,1036.0452
2019-05-13 08:45:20,2702,1036.0466
2019-05-13 08:45:20,2802,1036.0513
2019-05-13 08:45:20,2902,1036.0542
2019-05-13 08:45:20,3003,1036.054
2019-05-13 08:45:20,3102,1036.0515
2019-05-13 08:45:20,3203,1036.054
2019-05-13 08:45:20,3302,1036.0667
2019-05-13 08:45:21,3402,1036.0781
2019-05-13 08:45:21,3503,1036.0688
2019-05-13 08:45:21,3602,1036.0674
2019-05-13 08:45:21,3703,1036.0664
2019-05-13 08:45:21,3802,1036.0698
2019-05-13 08:45:21,3903,1036.0757
2019-05-13 08:45:21,4002,1036.0745
2019-05-13 08:45:21,4102,1036.071
2019-05-13 08:45:21,4203,1036.062
2019-05-13 08:45:21,4302,1036.0618
2019-05-13 08:45:22,4405,1036.0627
2019-05-13 08:45:22,4502,1036.0625
2019-05-13 08:45:22,4603,1036.0608
2019-05-13 08:45:22,4702,1036.053
2019-05-13 08:45:22,4802,1036.0549
2019-05-13 08:45:22,4902,1036.0654
2019-05-13 08:45:22,5002,1036.0728
2019-05-13 08:45:22,5103,1036.071
2019-05-13 08:45:22,5202,1036.0659
2019-05-13 08:45:22,5302,1036.0679
2019-05-13 08:45:23,5402,1036.0615
2019-05-13 08:45:23,5503,1036.0803
2019-05-13 08:45:23,5602,1036.0837
2019-05-13 08:45:23,5702,1036.0879
2019-05-13 08:45:23,5803,1036.0803
2019-05-13 08:45:23,5902,1036.0813
2019-05-13 08:45:23,6002,1036.0769
2019-05-13 08:45:23,6102,1036.0774
2019-05-13 08:45:23,6203,1036.0796
2019-05-13 08:45:23,6304,1036.0774
2019-05-13 08:45:24,6403,1036.0852
2019-05-13 08:45:24,6504,1036.085
2019-05-13 08:45:24,6603,1036.0791
2019-05-13 08:45:24,6702,1036.0864
2019-05-13 08:45:24,6802,1036.0779
2019-05-13 08:45:24,6903,1036.0754
2019-05-13 08:45:24,7002,1036.0691
2019-05-13 08:45:24,7102,1036.0686
2019-05-13 08:45:24,7203,1036.0774
